Local Health Jurisdiction,Census Tract,Number of indicators,At least 25% of the residential parcels were built before 1978,Census tract is within 1.7 miles of a current or former lead emitting facility,"Census tract is within 1,000 feet of a state highway",Census tract is within the city of a known current or historic smelter,Census tract is within 1 km of an airport using leaded avgas,Census tract is within 1 km of a railroad,"Census tract is within 1,000 feet of a speedway",Census tract is served by a water district with at least one known leaded service line or fitting
Alameda,06001440306,3,Yes,Yes,No,No,No,Yes,No,No
Alameda,06001440307,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001440308,3,Yes,Yes,No,No,No,Yes,No,No
Alameda,06001440331,3,Yes,Yes,No,No,No,Yes,No,No
Alameda,06001440332,2,No,Yes,No,No,No,Yes,No,No
Alameda,06001440333,3,No,Yes,Yes,No,No,Yes,No,No
Alameda,06001440334,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001440336,4,Yes,Yes,No,Yes,No,Yes,No,No
Alameda,06001440337,4,No,Yes,Yes,Yes,No,Yes,No,No
Alameda,06001440338,3,No,Yes,No,Yes,No,Yes,No,No
Alameda,06001441100,4,Yes,No,Yes,Yes,No,Yes,No,No
Alameda,06001441200,4,Yes,No,Yes,Yes,No,Yes,No,No
Alameda,06001441301,3,No,No,Yes,Yes,No,Yes,No,No
Alameda,06001441302,4,Yes,No,Yes,Yes,No,Yes,No,No
Alameda,06001441401,4,Yes,Yes,Yes,Yes,No,No,No,No
Alameda,06001441402,3,Yes,Yes,Yes,No,No,No,No,No
Alameda,06001441501,2,No,Yes,No,No,No,Yes,No,No
Alameda,06001441503,3,No,Yes,Yes,No,No,Yes,No,No
Alameda,06001441521,2,No,No,Yes,No,No,Yes,No,No
Alameda,06001441522,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001441523,2,No,No,Yes,No,No,Yes,No,No
Alameda,06001441524,2,No,No,Yes,No,No,Yes,No,No
Alameda,06001441525,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001441601,3,Yes,No,Yes,Yes,No,No,No,No
Alameda,06001441602,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Alameda,06001441701,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Alameda,06001441702,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Alameda,06001441800,4,Yes,No,Yes,Yes,No,Yes,No,No
Alameda,06001441921,2,Yes,No,No,No,No,Yes,No,No
Alameda,06001441923,3,Yes,No,No,Yes,No,Yes,No,No
Alameda,06001441924,4,Yes,No,Yes,Yes,No,Yes,No,No
Alameda,06001441926,1,Yes,No,No,No,No,No,No,No
Alameda,06001441927,0,No,No,No,No,No,No,No,No
Alameda,06001441928,3,No,No,Yes,Yes,No,Yes,No,No
Alameda,06001441929,1,No,No,No,No,No,Yes,No,No
Alameda,06001442000,4,Yes,No,Yes,Yes,No,Yes,No,No
Alameda,06001442100,3,Yes,No,Yes,No,No,Yes,No,No
Alameda,06001442200,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001442301,3,Yes,Yes,No,No,No,Yes,No,No
Alameda,06001442302,2,Yes,No,No,No,No,Yes,No,No
Alameda,06001442400,3,Yes,Yes,No,No,No,Yes,No,No
Alameda,06001442501,2,Yes,Yes,No,No,No,No,No,No
Alameda,06001442502,3,Yes,Yes,No,Yes,No,No,No,No
Alameda,06001442601,3,Yes,Yes,No,Yes,No,No,No,No
Alameda,06001442602,4,Yes,Yes,No,Yes,No,Yes,No,No
Alameda,06001442700,5,Yes,Yes,Yes,Yes,No,Yes,No,No
Alameda,06001442800,4,Yes,Yes,Yes,Yes,No,No,No,No
Alameda,06001442900,3,Yes,Yes,Yes,No,No,No,No,No
Alameda,06001443001,3,Yes,Yes,No,No,No,Yes,No,No
Alameda,06001443002,3,Yes,Yes,No,No,No,Yes,No,No
Alameda,06001443102,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001443103,2,No,Yes,Yes,No,No,No,No,No
Alameda,06001443104,3,Yes,Yes,Yes,No,No,No,No,No
Alameda,06001443105,3,No,Yes,Yes,No,No,Yes,No,No
Alameda,06001443200,2,No,Yes,Yes,No,No,No,No,No
Alameda,06001443301,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001443321,3,No,Yes,Yes,No,No,Yes,No,No
Alameda,06001443322,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001444100,4,Yes,Yes,Yes,No,No,Yes,No,No
Alameda,06001444200,4,Yes,Yes,Yes,No,No,Yes,No,No
